Dec. 30, 2025   15:17:38
Cyclic Voltammetry
File: cv_7
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = -0.8
High E (V) = 0.8
Low E (V) = -0.8
Init P/N = P
Scan Rate (V/s) = 0.1
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:

Segment 4:

Segment 5:

Segment 6:

Potential/V, Current/A

-0.800, -2.139e-4
-0.799, -2.126e-4
-0.798, -2.116e-4
-0.797, -2.105e-4
-0.796, -2.095e-4
-0.795, -2.085e-4
-0.794, -2.076e-4
-0.793, -2.066e-4
-0.792, -2.057e-4
-0.791, -2.047e-4
-0.790, -2.038e-4
-0.789, -2.028e-4
-0.788, -2.019e-4
-0.787, -2.009e-4
-0.786, -2.001e-4
-0.785, -1.991e-4
-0.784, -1.983e-4
-0.783, -1.973e-4
-0.782, -1.965e-4
-0.781, -1.955e-4
-0.780, -1.947e-4
-0.779, -1.938e-4
-0.778, -1.930e-4
-0.777, -1.920e-4
-0.776, -1.912e-4
-0.775, -1.903e-4
-0.774, -1.895e-4
-0.773, -1.886e-4
-0.772, -1.878e-4
-0.771, -1.869e-4
-0.770, -1.861e-4
-0.769, -1.852e-4
-0.768, -1.845e-4
-0.767, -1.836e-4
-0.766, -1.828e-4
-0.765, -1.820e-4
-0.764, -1.812e-4
-0.763, -1.803e-4
-0.762, -1.795e-4
-0.761, -1.787e-4
-0.760, -1.779e-4
-0.759, -1.771e-4
-0.758, -1.764e-4
-0.757, -1.755e-4
-0.756, -1.748e-4
-0.755, -1.739e-4
-0.754, -1.732e-4
-0.753, -1.724e-4
-0.752, -1.716e-4
-0.751, -1.708e-4
-0.750, -1.701e-4
-0.749, -1.693e-4
-0.748, -1.685e-4
-0.747, -1.677e-4
-0.746, -1.670e-4
-0.745, -1.662e-4
-0.744, -1.655e-4
-0.743, -1.647e-4
-0.742, -1.640e-4
-0.741, -1.632e-4
-0.740, -1.625e-4
-0.739, -1.617e-4
-0.738, -1.610e-4
