Dec. 30, 2025   15:15:28
Open Circuit Potential - Time
File: ocp_7
Data Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Run Time (sec) = 600

Time/sec, Potential/V

5.000e+0, 5.425e-2
1.000e+1, 5.427e-2
1.500e+1, 5.425e-2
2.000e+1, 5.426e-2
2.500e+1, 5.421e-2
3.000e+1, 5.416e-2
3.500e+1, 5.410e-2
4.000e+1, 5.406e-2
4.500e+1, 5.402e-2
5.000e+1, 5.398e-2
5.500e+1, 5.392e-2
6.000e+1, 5.390e-2
6.500e+1, 5.385e-2
7.000e+1, 5.381e-2
7.500e+1, 5.378e-2
8.000e+1, 5.373e-2
8.500e+1, 5.370e-2
9.000e+1, 5.367e-2
9.500e+1, 5.363e-2
1.000e+2, 5.361e-2
1.050e+2, 5.357e-2
1.100e+2, 5.352e-2
1.150e+2, 5.348e-2
1.200e+2, 5.344e-2
1.250e+2, 5.341e-2
1.300e+2, 5.340e-2
1.350e+2, 5.336e-2
1.400e+2, 5.331e-2
1.450e+2, 5.329e-2
1.500e+2, 5.326e-2
1.550e+2, 5.324e-2
1.600e+2, 5.322e-2
1.650e+2, 5.318e-2
1.700e+2, 5.314e-2
1.750e+2, 5.311e-2
1.800e+2, 5.317e-2
1.850e+2, 5.312e-2
1.900e+2, 5.315e-2
1.950e+2, 5.309e-2
2.000e+2, 5.304e-2
2.050e+2, 5.303e-2
2.100e+2, 5.319e-2
2.150e+2, 5.314e-2
2.200e+2, 5.310e-2
2.250e+2, 5.308e-2
2.300e+2, 5.302e-2
2.350e+2, 5.297e-2
2.400e+2, 5.294e-2
2.450e+2, 5.295e-2
2.500e+2, 5.291e-2
2.550e+2, 5.289e-2
2.600e+2, 5.287e-2
2.650e+2, 5.285e-2
2.700e+2, 5.282e-2
2.750e+2, 5.279e-2
2.800e+2, 5.280e-2
2.850e+2, 5.275e-2
2.900e+2, 5.274e-2
2.950e+2, 5.271e-2
3.000e+2, 5.268e-2
3.050e+2, 5.267e-2
3.100e+2, 5.265e-2
3.150e+2, 5.263e-2
3.200e+2, 5.260e-2
3.250e+2, 5.256e-2
3.300e+2, 5.255e-2
3.350e+2, 5.253e-2
3.400e+2, 5.252e-2
3.450e+2, 5.248e-2
3.500e+2, 5.248e-2
3.550e+2, 5.244e-2
3.600e+2, 5.243e-2
3.650e+2, 5.240e-2
3.700e+2, 5.239e-2
3.750e+2, 5.235e-2
3.800e+2, 5.232e-2
3.850e+2, 5.233e-2
3.900e+2, 5.231e-2
3.950e+2, 5.230e-2
4.000e+2, 5.229e-2
4.050e+2, 5.226e-2
4.100e+2, 5.225e-2
4.150e+2, 5.224e-2
4.200e+2, 5.222e-2
4.250e+2, 5.221e-2
4.300e+2, 5.218e-2
4.350e+2, 5.214e-2
4.400e+2, 5.212e-2
4.450e+2, 5.209e-2
4.500e+2, 5.207e-2
4.550e+2, 5.206e-2
4.600e+2, 5.202e-2
4.650e+2, 5.204e-2
4.700e+2, 5.204e-2
4.750e+2, 5.204e-2
4.800e+2, 5.199e-2
4.850e+2, 5.199e-2
4.900e+2, 5.201e-2
4.950e+2, 5.198e-2
5.000e+2, 5.195e-2
5.050e+2, 5.194e-2
5.100e+2, 5.191e-2
5.150e+2, 5.190e-2
5.200e+2, 5.189e-2
5.250e+2, 5.187e-2
5.300e+2, 5.186e-2
5.350e+2, 5.186e-2
5.400e+2, 5.184e-2
5.450e+2, 5.183e-2
5.500e+2, 5.181e-2
5.550e+2, 5.182e-2
5.600e+2, 5.185e-2
5.650e+2, 5.183e-2
5.700e+2, 5.183e-2
5.750e+2, 5.180e-2
5.800e+2, 5.180e-2
5.850e+2, 5.181e-2
5.900e+2, 5.179e-2
5.950e+2, 5.178e-2
6.000e+2, 5.178e-2
