Dec. 31, 2025   22:07:55
Open Circuit Potential - Time
File: h:\isef regionals john\unhealthy soil\ocp\ocp_4.txt
Data Source:  Experiment
Instrument Model:  CHI612E
Header: 
Note: 

Run Time (sec) = 600

Time/sec, Potential/V

5.000e+0, -3.837e-2
1.000e+1, -3.925e-2
1.500e+1, -3.973e-2
2.000e+1, -4.022e-2
2.500e+1, -4.064e-2
3.000e+1, -4.104e-2
3.500e+1, -4.137e-2
4.000e+1, -4.168e-2
4.500e+1, -4.198e-2
5.000e+1, -4.222e-2
5.500e+1, -4.248e-2
6.000e+1, -4.271e-2
6.500e+1, -4.292e-2
7.000e+1, -4.310e-2
7.500e+1, -4.330e-2
8.000e+1, -4.347e-2
8.500e+1, -4.364e-2
9.000e+1, -4.379e-2
9.500e+1, -4.393e-2
1.000e+2, -4.409e-2
1.050e+2, -4.421e-2
1.100e+2, -4.433e-2
1.150e+2, -4.447e-2
1.200e+2, -4.458e-2
1.250e+2, -4.470e-2
1.300e+2, -4.480e-2
1.350e+2, -4.491e-2
1.400e+2, -4.501e-2
1.450e+2, -4.512e-2
1.500e+2, -4.521e-2
1.550e+2, -4.530e-2
1.600e+2, -4.543e-2
1.650e+2, -4.552e-2
1.700e+2, -4.558e-2
1.750e+2, -4.573e-2
1.800e+2, -4.580e-2
1.850e+2, -4.588e-2
1.900e+2, -4.595e-2
1.950e+2, -4.603e-2
2.000e+2, -4.611e-2
2.050e+2, -4.617e-2
2.100e+2, -4.623e-2
2.150e+2, -4.631e-2
2.200e+2, -4.643e-2
2.250e+2, -4.647e-2
2.300e+2, -4.654e-2
2.350e+2, -4.660e-2
2.400e+2, -4.667e-2
2.450e+2, -4.673e-2
2.500e+2, -4.679e-2
2.550e+2, -4.686e-2
2.600e+2, -4.691e-2
2.650e+2, -4.698e-2
2.700e+2, -4.703e-2
2.750e+2, -4.709e-2
2.800e+2, -4.717e-2
2.850e+2, -4.723e-2
2.900e+2, -4.727e-2
2.950e+2, -4.733e-2
3.000e+2, -4.738e-2
3.050e+2, -4.743e-2
3.100e+2, -4.747e-2
3.150e+2, -4.755e-2
3.200e+2, -4.759e-2
3.250e+2, -4.765e-2
3.300e+2, -4.771e-2
3.350e+2, -4.777e-2
3.400e+2, -4.782e-2
3.450e+2, -4.787e-2
3.500e+2, -4.793e-2
3.550e+2, -4.799e-2
3.600e+2, -4.802e-2
3.650e+2, -4.808e-2
3.700e+2, -4.814e-2
3.750e+2, -4.819e-2
3.800e+2, -4.824e-2
3.850e+2, -4.829e-2
3.900e+2, -4.835e-2
3.950e+2, -4.839e-2
4.000e+2, -4.845e-2
4.050e+2, -4.849e-2
4.100e+2, -4.855e-2
4.150e+2, -4.860e-2
4.200e+2, -4.865e-2
4.250e+2, -4.869e-2
4.300e+2, -4.872e-2
4.350e+2, -4.878e-2
4.400e+2, -4.881e-2
4.450e+2, -4.887e-2
4.500e+2, -4.891e-2
4.550e+2, -4.896e-2
4.600e+2, -4.901e-2
4.650e+2, -4.905e-2
4.700e+2, -4.910e-2
4.750e+2, -4.914e-2
4.800e+2, -4.918e-2
4.850e+2, -4.921e-2
4.900e+2, -4.926e-2
4.950e+2, -4.930e-2
5.000e+2, -4.935e-2
5.050e+2, -4.938e-2
5.100e+2, -4.942e-2
5.150e+2, -4.947e-2
5.200e+2, -4.951e-2
5.250e+2, -4.955e-2
5.300e+2, -4.959e-2
5.350e+2, -4.963e-2
5.400e+2, -4.966e-2
5.450e+2, -4.971e-2
5.500e+2, -4.975e-2
5.550e+2, -4.980e-2
5.600e+2, -4.984e-2
5.650e+2, -4.988e-2
5.700e+2, -4.993e-2
5.750e+2, -4.996e-2
5.800e+2, -5.001e-2
5.850e+2, -5.005e-2
5.900e+2, -5.007e-2
5.950e+2, -5.012e-2
6.000e+2, -5.016e-2
